Customer Name,Review Topic,Review Body,Rating(of 5),Review date
AN,Best,"I will recommend this to everyone, it is cheap and worth more",5,26-04-2022
ngesit,oraimo freePods-3 2baba,"It's great and does the job perfectly.
Last longer and very comfortable, especially with the sleek casing.",5,26-04-2022
le,It's actually as nice as the hype,It's a powerful device,5,25-04-2022
vin,Great earpiece,Works well and lasts long too,5,25-04-2022
wuwo Timilehin,Amazing,Amazing product,5,25-04-2022
tiny,Cool????,"I was so surprised at the the sound, it has a good bass and a nice design. It’s really cool ????????????",5,25-04-2022
ven,Oraimo????,The touch sensor are not that sensitive. But everything else is perfect,4,25-04-2022
de Chi,Very good,It’s very good and loud even for calls but It hardly detects touch and I can’t turn it on except it’s back in the case,5,25-04-2022
ulope,Oraimo Freepods,"The bass is very good and the noise cancellation is decent enough. It does hurt the ear after 20minutes or so, especially the right ear. Good product overall for its price",5,22-04-2022
uel,inconsistent in its functions,"The device is okay, but after a while the ear pieces started having issues",2,22-04-2022
,It's fantastic,"The sound is perfect, I love it!",5,22-04-2022
kwuemeka Udechukwu,Perfect,Very nice,5,22-04-2022
anuel,I love it !,"absolutely love it, beautifully packaged and the sound is worth every kobo spent.",5,21-04-2022
ng,I love it,The sound is super,5,21-04-2022
id Abiodun,Good one,Good stuff,5,21-04-2022
ie,love it!,It's perfect,5,21-04-2022
horun,I love it,I really love how it works,5,19-04-2022
runleke,Awesome product :),"Nice, I love it :)",5,18-04-2022
cious,oraimo freepods 3,It keeps falling off my ears...,3,18-04-2022
ssing Etim,Oraimo freepods,I like it .,4,18-04-2022
tor,..,Good sound quality,5,18-04-2022
e,Really Decent,"Just a few days of using it but it's been really good, no complaints. Bass is good , speech recognition by virtual assistants is good too",4,18-04-2022
MOLA,A bit disappointing,"The sound is good, but the only snag is that I can use just one out of the 2 to speak on phone calls. The other one is just useless, only to listen.",3,18-04-2022
shola,It is portable,It is good,5,18-04-2022
Y UYIOSA,i love it,It's great,5,18-04-2022
eon,My Oriamo review,"The bass is out 

of this world and the battery life is mind bugling.",5,18-04-2022
san Yusuf Oluwatobi,It nice,Nice products,5,18-04-2022
chukwu,I love it,Authentic product only downside is it feels uncomfortable for long term wear on,5,18-04-2022
by Archibong,Awesome product,Audio quality is amazing.,4,15-04-2022
i,I love it,"Good,solid product
Recommendable to all",5,15-04-2022
vester,I don't like it,"It is having connection issues, sometimes one ear will connect without the order",2,15-04-2022
ammad Nazeer,I like it,The bass is the best part about,5,15-04-2022
ammed,I kind of like it,It hurts in the ear after a while.,4,15-04-2022
,Love it!,So far so good,4,15-04-2022
eem,good,Very nice,3,15-04-2022
OLU KEHINDE,My second order,Perfect for the price,4,15-04-2022
ah Gabriel,Not happy,"One of the airpods stopped working in less than two weeks for no reason, felt like i wasted my money to purchase it.",2,14-04-2022
ith Yakubu,Expanding Bass Mode Earbuds,"The ear buds for the bass mode gradually expands due to heat. So, one with a stronger/a more heat resilient rubber is recommended",4,14-04-2022
be,tried,Very good for music but a strong no for gaming,4,13-04-2022
licent,My Oraimo pods,"tested and trusted. 
Trust me on this one????",5,12/4/2022
nkwo,I love this,This oraimo is too good ????,5,12/4/2022
nkorode,oraimo freepod 3,It's very nice...,4,12/4/2022
chukwu Olamma,I love it and the bass is great,It’s just perfect.,5,12/4/2022
keze,the sound,Amazing product ✅✅✅✅????✅✅????✅????✅????✅????✅????✅????✅✅????✅????✅,5,12/4/2022
ail,very nice,It was really nice,4,12/4/2022
KZ,quality,The freepod is very strong all rounder,5,11/4/2022
ry,I love it,Awesomely great ???? ???? ???? ????,5,11/4/2022
uedefe Ategbe Enorense,I like it.,"This is exactly how it is.
Waooooh",5,11/4/2022
mikun,Real quality bass !!! I love it,Very good and comfortable to use,5,11/4/2022
AL-RABANA,perfect,"Long lasting battery, with smooth sound",5,11/4/2022
wale,its ok,The mouth piece is not that good,3,11/4/2022
id nelson,Nice,The best,5,11/4/2022
,Worth it,"For its price, it is worth it",5,11/4/2022
ow,Like it,Very cool product,5,11/4/2022
ola,song,The next song tripple clicking does not work more than 3 times at a strech. Would like to work more than 3 times,4,10/4/2022
anuel,Nice,I like it,4,10/4/2022
iah,I really love it,"Just what I needed from earbud, good battery, great bass and its comfortable to the ear",5,10/4/2022
raro,It is amazing,I got it exactly a week from when I ordered it and it is even more better than advertised,5,8/4/2022
nyen Joshua,Great,it’s nice. long lasting battery,5,8/4/2022
mood Abba Tauhid,Love you!,"Sound quality, perfect. Noise cancelation works perfectly",4,8/4/2022
ns,I like it,Very nice,5,8/4/2022
anie Emeka,Very good,"The pods are nice but after wearing for sometime, it’s painful.",4,7/4/2022
hmond Monday,Its cool and worth it,Awesome,5,7/4/2022
ekachukwu,I love it,"Omo, the sound mad gon",5,7/4/2022
gsley,Love it !,"Love everything about it, using it right now ????",5,7/4/2022
eb,oraimo freepod3,The unique sound,5,7/4/2022
nleye,Smooth with excellent bass,Enjoyed the bass,5,6/4/2022
id,good sound,Nice 1,4,6/4/2022
dra Obi,Low volume,The freepods are beautiful but the audio is so low. I feel cheated. I can barely hear music when I’m using it. Such a waste of money,1,6/4/2022
inyechi,Pod3,It works great,5,6/4/2022
ma,Great!,"It’s a good one trust me
Go for it",5,5/4/2022
in,Love ❤️ it,Love it ???? it’s the best,5,5/4/2022
L,oraimo,"It's very ok,the base nah wonderfu",5,5/4/2022
MU,Great for Music,Fits well and great listening experience,4,5/4/2022
tor,Dope,"It's really alryt 
The battery life is superb and it's good for calls 
All in all 
It has a good value for money",4,5/4/2022
eph,ABSOLUTELY WORTH IT,"Loud, solid bass, refined sound, call clarity. You get the value worth. I recommend it.",5,4/4/2022
lekan Bakare,Got value for my money,Perfect,5,4/4/2022
OTHY TAHIR,Mr.,"I must say it is as advertised. My only problem with it is the lack of volume control on the buds, but it’s not that much of a deal breaker. I can recommend ????",5,4/4/2022
hael,Everything is great,"Nice Bass, Long Battery Life, Doesn't fall off the ear, good noise cancellation and great for calling",5,4/4/2022
pson,Great Sound Quality,Good bass and nice sound quality,5,4/4/2022
inioluwa,I love it,"I'm really enjoying the battery life,sound quality and comfort in the ear. Better than I expected.",5,4/4/2022
BOWALE,I love it,Sound is too good,4,4/4/2022
 Nmabiwe,The best,Perfect!!!,5,4/4/2022
y Vic,Just as advertised!,"You might find the battery a lil short of what's in the instruction manual but nevertheless lasts you more than a day. 
Otherwise it's all good a great value for your money!",4,4/4/2022
si,A bang for your bucks!,"For the price it goes, its definitely worth every kobo and more.",5,4/4/2022
hary,the best,Oraimo always the best product ever,5,4/4/2022
nley,I like it,"Excellente!!!
So perfect with long lasting battery life",5,4/4/2022
di,great bass and noice cancelling,Great product,5,4/4/2022
alis,Pod3,Is cool,5,4/4/2022
ai,awesome,Highly recommended ❤️,5,4/4/2022
,I like it,Nice product,5,1/4/2022
t,The play is a reveal,"Nice jam..
More balance ☺",5,1/4/2022
AN Adesegun Onibon,cool,The product is perfectly okay,5,1/4/2022
anuel,Excellent product,Love everything about it,5,1/4/2022
anuel,I like it,Worth the price. Good sound better battery life,4,1/4/2022
phen,Great product,Works very well and it last long,5,31-03-2022
ve,good product,sounds good. clear calls and long lasting. its also durable,5,31-03-2022
yann Iye,Great,I love it,5,30-03-2022
ex,Rating,It's Okay.,4,30-03-2022
ANBOLA,Good,Been using it for two months now.,4,30-03-2022
i,Great Product with issues,"On full charge the battery last a little lower than 5 hours compared to the 8 hours that was described. 
One ear stopped working after 1 month. Average product to me, I think this product is not meant for daily usage",2,30-03-2022
ideen,oraimo,Works well,4,30-03-2022
nlola,good sound,Nice sounds,5,30-03-2022
eef,good,Good for the money,4,29-03-2022
ry,Legit,It's cool Nd real,4,29-03-2022
amed,It's nice,Good packing,5,29-03-2022
chi Precious,Perfect,Perfect,5,29-03-2022
A,I like it,Good product,5,29-03-2022
lian,I like it,Its bass is superb,5,29-03-2022
UMBUS,Amazing,Nice sound....,5,28-03-2022
agbu,So sweet,I got exactly what I ordered,5,28-03-2022
emiah,Lovely n is good,Is ok I love it,5,28-03-2022
leye Obuzor,It’s awesome,"Sound quality is as good as advertised although I would prefer if they finally created an app and also tried ambience 
It would take it to another level 
Aside that it’s a very good choice for music lovers",5,28-03-2022
ni,service,Service was quick,5,28-03-2022
dera,pleasant,The effectiveness,5,28-03-2022
wafemi,power,Long lasting battery,5,28-03-2022
mi,I like it,I'm loving it,5,28-03-2022
jioke,Good,Good……..,5,28-03-2022
xander,amazing,The sound is magical ✨,5,28-03-2022
unonengiofori,I like it,It's alright,5,28-03-2022
liposat,YES,"Good sound, but doesn't sit well in the ear, always falling us and the battery life isn't so strong",3,28-03-2022
wu,is working fine,Very good product,3,28-03-2022
ven Agabi,It’s aii,It’s alright for the price,4,28-03-2022
in,It’s great,Really good for the price.,4,28-03-2022
win,improve more,Improve,3,28-03-2022
 Daniel,Online lag,"It lags sometimes when watching online videos or streaming music online but catches up anyway. Everything that is said about the free pods-3 2Baba Edition is true, it actually lasts more than 8 hours. The bass is good, and amazing when watching movies-its like you are in a cinema ????. Thanks Oraimo.",4,28-03-2022
inro Babatunde ( BobbyKesh),Perfect Product But Has A Little Flaw,"Everything about this freepods is great like the bass,connectivity and the battery life.The only Issue with this product is that it causes pain in the ear when used for a long time but if not for this i would have rated it 5 Star ???????????????????? perhaps they should try to tend to this issue because it's the only flaw in this great product",4,28-03-2022
rick,I like it,It very good,5,27-03-2022
dipo Taiwo,Great Buds,The bass is freakn nice and the battery span is amazing.,5,26-03-2022
head,Very comfortable!,"These pods are sooooo comfortable, in both bass and awareness modes. The sound is awesome! And the battery life is amazing!",5,25-03-2022
nni,Good,It’s very nice,5,25-03-2022
nobong,Perfect sound,Its amazing. The sound is perfect!,5,25-03-2022
bert Ayokunle,A1,The Bass is on point. The battery is dope... nice one Oraimo,5,25-03-2022
,I like it,Very good for the price!,4,25-03-2022
IKE,I love it,"The sound is filtered and the bass is superb, the battery last very well too... Worth the price",4,25-03-2022
anuel,Terrible Mic,The mic doesn't work as advertised at all... You literally have to be screaming before the mic catches what you're saying,2,25-03-2022
wale,Mixed,"sound quality is nice
Battery. Very good
Bass is solid
But
One ear eventually stop working to a point where u can't use both ears st d same time....Oraimo should improve on this...",3,23-03-2022
u,must purchase item,In one word just go for it,5,23-03-2022
SANYA OLUWAMAYOWA GABRIEL,Oraimo❤️,I love it,5,22-03-2022
rence,I Iike it,The bass is top notch and it is durable,4,22-03-2022
nedum,its really good,It's oraimo,4,22-03-2022
sa,bass,The Bass,5,22-03-2022
ITOPE,Nice,"It is excellent for music, not too bad for phone calls but extremely poor when used for WhatsApp and zoom meetings, even with a particularly good internet connection.",3,22-03-2022
vin,sound quality not what i expected tbh,Improve the  distance quality on voice calls,4,22-03-2022
els Immanuel,Love it,"Sound quality, battery life... I just love this product",5,22-03-2022
ards,It is a good eatbud,"Yes it could be better these are things I would complain about
1 The touch is not so responsive
2 The Ear tips easily come off
3 After a while the buds feel uncomfortable on the ears because of a little pain in the outer ear 
When it comes to sound the Bass is Superb and it connects perfectly , Battery life is good have never exhausted it .",3,21-03-2022
her,Satisfactory but could be better,Extend the duration of connection with device,3,21-03-2022
chukwu,Love it,4 stars cos it could have been better.,4,21-03-2022
nel,i like it,good quality. I love it,5,21-03-2022
ilola,Oraimo pod is lovely,Best Ear Pod I have used so far,5,21-03-2022
kwudubem,I like it,Everything about the freepod 3 is just so perfect...the way the muffs fits to the ear is completely perfect..the sound effects especially the bass is perfect..And pods last very well.. Everything is just so perfect..,5,21-03-2022
tayo,Fantastic product!,"I love it, very nice bass, good connectivity and lasting battery... Very sensitive touch sensor, almost too sensitive sef????",5,21-03-2022
chukwu,I love it,It's superb,5,18-03-2022
yjane,Oraimo,Awesome experience so far.,5,18-03-2022
nobong,Sleek and Perfect Sound Quality,In love how smooth and comfortable they feel. The sound is great too,5,18-03-2022
elord,Nice,It's cool,5,18-03-2022
n,Bass and quality,The earpods are super amazing with bass and great quality,5,18-03-2022
for benjamin,Its perfect,Its perfect,5,18-03-2022
da,Great product,Great product.,5,17-03-2022
dozie,nice,the sound is good and the battery is fire,5,17-03-2022
ncess,I like it,Good quality,4,17-03-2022
ammad,I like it,Great bass,5,17-03-2022
id,freepods3,It works beautifully ????????????,5,16-03-2022
salewa Adefemi,Review,It’s perfect,5,16-03-2022
anuel,the afrobeat sound is great,It's a cool and sleek product,5,16-03-2022
,perfect,I love the product,5,15-03-2022
EPH NKWOCHA,Re:,"It’s really good for the prize. Battery last long, quality is good, sound is good.",4,15-03-2022
le,I love it,"I totally love this. The sound is so clear, it's like a mini speaker in your head. 
Its worth the price.",5,15-03-2022
echi,Awesome!!!!!,"As a producer, I am very critical of sound quality. These earbuds are really awesome. Providing quality bass at all levels",5,15-03-2022
uf Shoneye,It’s really nice,The sound can still be better,4,14-03-2022
a,I love it,Works perfectly,4,14-03-2022
ght,I love it,Works perfectly,5,14-03-2022
i,Perfect,This one quality pass Airpod ❤❤❤,5,14-03-2022
ac Adariku,Awesome,"It's really cool, I use it for recording and it's nice how it remove noise",5,14-03-2022
WAMAYOWA,Nice,The fact its removes the surrounding noise and the Bass is Bam,5,14-03-2022
hua,Very good product,The best of all,5,11/3/2022
ndairo Adewale,Like is an understatement,"Its like me taking my home theater to work everyday, sooo cool, ear friendly, strong and battery life is dope. But we need a pouch for it, so we won't lose it.",5,11/3/2022
JOKO,I like it,The bass sound is Good.,5,11/3/2022
rinde Abiola,Best product,It a very nice product,5,11/3/2022
anuel garba,It’s very cool,Nice sound,4,11/3/2022
c,I like it,"Nice product, buds battery average. Sounds ok",4,11/3/2022
kwusom,Nice,"The awareness mode could be better, asides that, every other thing is ok.",5,10/3/2022
ng,good,Last long,5,10/3/2022
nola,Perfect,It's amazing and the battery last long,5,10/3/2022
migoke Gunny,Mr,I love it,5,10/3/2022
waseun Omale,It’s nice,Very nice bass and sound but it can’t come t to 2 devices at the same time,4,9/3/2022
echukwu,I like it,The sound is worth the price. In good and working fine.,5,9/3/2022
ntade,Didn't meet expectation,"Products is working fine , but it's always Itchy despite me trying multiple earbuds tips. Although the bass is great but the awareness mode is shit ( didn't expect it to be that worse)",3,9/3/2022
hua,Love it????????????????,So good and the noise cancellation feature is superb,5,9/3/2022
AMMAD NAFIU,Oraimo freepods-3,A longer USB cable would make it perfect,4,9/3/2022
edo,I love it,Works exactly ..  great battery life . Great sound .. very clear voice calls ... Best product ever ..  I love it,5,9/3/2022
hard Richard,Works well,"E clear , no wahala",5,8/3/2022
LO,Freepod 3,"Excessive bass, poor rubber tips... The rubber tips easily falls off from the ear",2,8/3/2022
mide,On point,I love the bass,5,8/3/2022
cious Dickson,Good,I love it,5,8/3/2022
cess,its good,"It's noise cancellation is ok. At first it pairs two different phones but once you are able to pick a call with one, the other will never reconnect again. When properly inserted is not painful to the ear.
Overall it's good but couldn't ascertain how many days it's  last because i charge it at any given 
Opportunity of electricity because of the country we live in",3,8/3/2022
AHIM aliyu farinwata,is well played,"There's no volume on the device 







That's good device",3,8/3/2022
n,It’s alright,"Rubber buds become very loose and keep shaking or removing from pods, mic quality isn’t great on calls",3,8/3/2022
m,A lovely device,This is a nice device to have. Works perfectly and the sound quality is great.,5,7/3/2022
n ikponmwosa,love it,"It's pretty cool, noise consolation needs to be better",5,7/3/2022
i,If you want it then just get it,It is mine,5,7/3/2022
tubosun keshinro,Really good,It’s a really good device but I miss placed it 3 weeks after purchase.,5,7/3/2022
LEYE,Cool,Nice device but there is room for improvement,5,7/3/2022
ANUEL EGBOOCHA,Ear sensor,It could be better if it has ear sensor,4,7/3/2022
OLA TESLIM,Good,Yes beautiful,5,6/3/2022
awole Mosunmola,Nice,Working perfectly,4,4/3/2022
ulQudus,Great device! Wish there’s replacement parts,It’s a really awesome device. I enjoyed the use until I lost the case. Very optimal design and experience.,5,4/3/2022
entine,i like it,The product is of good quality,5,4/3/2022
on Dubre,Oraimo AirPods,It’s wonderful,5,4/3/2022
,lovely,So nice ????,5,3/3/2022
ry,I like it,The sound is amazing and very good battery life too,5,2/3/2022
ny,it's okay,It's okay for the price range,4,2/3/2022
nedu,I love it,Perfect bass,5,1/3/2022
OYE,Good product,"Just buy, period.",5,1/3/2022
hael,Perfect,Love it bass hit hard ????,5,28-02-2022
oluwa,i like the product,Delivers great quality sound,5,28-02-2022
m Francis,Very good so far.,Reduce the price again ????,5,28-02-2022
will,I like it,I love the Odaimo freepod 3. It's worth the price.,5,28-02-2022
eiman,I like it,"It is an authentic product just as described on jumia.
I scanned the barcode and it confirmed it.",5,28-02-2022
anah,i really love it,"It's so perfect, and full with bass",5,28-02-2022
osa,Review,The sound,5,28-02-2022
GOKE,9.5/10,"9.5/10
Pure sound, durable battery life, however 
The rubber cover hurts my ear",5,28-02-2022
,The left ear isn’t working,The left ear isn’t working,2,28-02-2022
wale Olatunji,Not satisfactory,The left ear always drop off and the sound production is low,2,28-02-2022
ARE,I love it,Packaging is Wow,5,27-02-2022
ARE,Love it,My wife loves it,5,27-02-2022
watimilehin,I like it,It is exactly what is in the description and works well,4,25-02-2022
LAHAN,Good,"Compared to its predecessor, its sound quality and sound authenticity is quite good and budget friendly",4,24-02-2022
ido,Great product for the money,"Maybe by actually putting in tips of different sizes and fits, it would be more comfortable, especially to wear for longer periods of time. Other than that, it sounds dope and the quality is superb for the price, the battery last long too, I’d recommend it to anyone who’s looking for a fair price on a great pair of EarPods.",5,24-02-2022
swin,Great sound,Just reduce the latency and every mobile gamer will want to go for this… still not bad for gaming tho and the bass while listening to music is Jbl rated????????,5,24-02-2022
io OG,best budget earbuds rn,Its perfect,5,24-02-2022
EZ,Oraimo freepods-3,"Very light weight,Ear friendly, sound filteres & long last battery",4,24-02-2022
enna Kingsley,Mr,"It is good, but I am experiencing little malfunction with the right Earbuds, it disconnects by itself most times",5,24-02-2022
id Ovuakporie,The freepods 3,It’s really nice,5,24-02-2022
hael,I like it,It has a good production but there are times the called party doesn't hear me and the pod easily falls from the ear.,4,23-02-2022
l,on point,Device serves its purpose extensively,5,23-02-2022
orah Samuel,Oraimo free pods3,It’s wonderful and the battery lasts. It’s just that I had to remove the buds before it fit into my ears. It’s amazing,5,23-02-2022
im,Very good,Very excellent,5,23-02-2022
EON,The full package,Perfect as reviewed,5,23-02-2022
AHIM,Excellent product,The quality exceeded my expectations. Fanstastic product,5,23-02-2022
anuel,Oraimo,"Product's great... Been using for a while
Good sounding",5,23-02-2022
so,Already having issue,The free pods are appearing as two different blue tooth devices because of this I can only use one pod at a time.,3,22-02-2022
hi,I like it!,"The sound quality is great, especially the bass. 
The sleekness and how it perfectly fits my small ear makes it endearing to me.",5,22-02-2022
 A,I LIKE IT.,GREAT! I LIKE IT AND ITS TIMELY ARRIVAL.,5,22-02-2022
ine calix Udo-Udofia,Good,"????????
Good",5,22-02-2022
ina Nse,oriamo freepods,Madt o.. the best so far.. see vibes nau,5,22-02-2022
anuel,Ear pods,Very nice,4,22-02-2022
CIOUS,Good,For some reason I can't make calls with it again even tho the mic is still good because I play games and can record vn with it,4,22-02-2022
ati Japhet,I like it,I like it. But there’s room for improvement. A way of increasing and reducing volume should be added. Thank you,4,22-02-2022
dad,nice,Pretty nice,5,21-02-2022
rick,excellent,The sound,5,21-02-2022
omon,Excellent Product,Love everything about this pod. Bass is exceptionally superb and sound crystal clear.,5,21-02-2022
iyah,I love it,"Very comfortable, easy to pair and the bass is awesome.",5,21-02-2022
in Ogbu,i like it,Is nice an ok,5,21-02-2022
our,I like it,Great sound!,5,21-02-2022
nze,Nice,Good product.,5,21-02-2022
ii,Fix them rubbers,"The rubbers are too big for my ears and I’m using the smallest ones, asides that the quality is really good",3,21-02-2022
swill Ugbiedah,Free pods 3,I looooove it so much it’s ????,5,18-02-2022
ry,I love it,It was everything I expected,4,18-02-2022
omon,Best Airpod,"Oraimo did a very good job here. i can make calls, listen to quality sounds with ease. battery lasts longer too",5,18-02-2022
dinho,perfecto,I love it,5,18-02-2022
mzi,I love them,"definitely worth it for the price, the sound is amazing and better than I expected!!",5,17-02-2022
HONY,failed connection,The Bluetooth connection is not strong,5,17-02-2022
ke,I like it,Quality,5,17-02-2022
HORO,Good Bass!,Works as advertized.,4,16-02-2022
to,It's very good,The bass is on point. The beat is rich. It's the best I have used at that price point.,5,15-02-2022
NEKAN,araimo 2baba,Improve on the sound,4,15-02-2022
e,Still under observation,Fantastic so far,4,15-02-2022
et,Nice,"I like it though I haven't been able to use the option that selects ""Next song"".",4,15-02-2022
nky,I like it,Quality Product,4,14-02-2022
rley,lovely,"The base is really nice, it's an improvement of freepod 2",4,14-02-2022
son,It's perfect,I recommend this to anyone. Battery lasts long. Sound quality is great. It is definitely worth it so far,5,14-02-2022
anyi Chukwueke,Oraimo,Great and durable,5,14-02-2022
UEL,sound,It's nice great sound long lasting when charge but improve on the color ???? maybe like white etc,5,14-02-2022
kparo,its a nice product,I love the sound... I guess this is the first time I'm buying something from Jumia and I feel satisfied with it.,5,14-02-2022
itope,Power,Long lasting power,5,14-02-2022
an J,I like it,It's works great as expected. But it pains my ear when i use it for long.,5,14-02-2022
TUS,superb,Very nice.... And good sound quality,5,14-02-2022
tor,improvement on the connection,i love it but the connection is shaky when my phone is inside my pocket  it disconnects sometimes for no reason,3,14-02-2022
ul fatah,I like jumia,"Is very nice
Product oraimo",3,14-02-2022
iah,awesome,Everything bam!,5,11/2/2022
MIPO,I love it,I got exactly what I ordered. The sound is on point.,5,11/2/2022
igboye,good one,Because it very good sounds and bass,5,11/2/2022
itan Banty,Never charged full since purchase,I’ve been charging it since the day I bought it and it’s never fully charged,4,11/2/2022
ma,I like it,"It's good, long lasting,  good sound quality and bass, but the two sides no longer connect together on Bluetooth again. It only connects one ear.",4,10/2/2022
y,Works well,Product is just as advertised,5,10/2/2022
roghene,Amazing product,"Awesome product, quality sound",5,10/2/2022
ghoye,Excellent product and output,Battery longevity,5,10/2/2022
eiman,stereo freepods-3,Parfect,5,10/2/2022
ny,Sound,Good and nice,4,9/2/2022
N.,Voice calls are not great,ound quality is great. But the complaints about people not hearing you is accurate.  Don’t ignore it. However i think the fox is that both airs have to be out and you have to speak loudly:land clearly,4,9/2/2022
DOKUN,Perfectly ok,The Oaimo is perfectly good,5,9/2/2022
NIRAN,I like it,Very nice,5,8/2/2022
gie,Love it,The basssss,5,8/2/2022
bakar Hamza,Mr,This is good.,5,8/2/2022
nna,the sound,The Sound is Amazing,5,8/2/2022
lo,works well,"It's just fine ,apart from lasting long nothing special about it",4,8/2/2022
AHIM,I love it.,I like it.,5,8/2/2022
her Morris,Earbud,"You could make it more comfy to stop falling off, Bt the sound is very nice and it’s worth the purchase",4,7/2/2022
lip,Great Sound!,"The sound is amazing, andthe packaging is perfect however, the case is weak and not durable.",4,7/2/2022
r,it is very nice and good,The sound is very okay,5,7/2/2022
zi Etumnu,Good,No complaints,5,7/2/2022
nley,the sound and battery,Very okay ????,5,7/2/2022
,oraimo earpod,I like the earpod so much. It is really loud and sounds well,5,7/2/2022
chukwu,perfect,Satisfactory,5,7/2/2022
y,excellent experience,Awesome ????,5,7/2/2022
med,Exceed expectations,This is definitely what I ordered and more!,5,7/2/2022
ad,I like it,Very fast Bluetooth pairing and has a very clear sound with a long battery life but after the red line volume people can start hearing with you and it is a bit uncomfy for your ears since it is a little big for your ears opening (depends on my personal experience),3,7/2/2022
é Ago,Latency,"Didn’t expect a BT 5.3 device to have so much latency, the latency terrible in mobile games",3,7/2/2022
SEYI OGUNJOBI,Falls off from the ear holes easily,It doesn’t stay in my ear.. falls off with every opportunity,3,7/2/2022
rika Ebuka,The Audio,It’s great with Android and not so great with iPhones,5,7/2/2022
mander Ray,Nice,The sound quality is really good for that price range,5,5/2/2022
boro,A bit of like,One of the ear pod is not working,3,4/2/2022
IQ OPEYEMI,I love it,Good product,5,4/2/2022
rick,free pods 3,The bass,3,4/2/2022
hael Uduji,Best ear pods ever......,It’s everything I expected and more.,5,3/2/2022
ry Ovoke,No issues,"Products is 100% ok and perfect,i  don’t see any faults but you can work on the design on next edition",5,3/2/2022
ebi Olunwa,It’s great,It’s perfect,5,3/2/2022
adina,Love it. Great sound,Great device,4,3/2/2022
HUKWU TOCHUKWU,Perfect,I love it,5,3/2/2022
AWOLE,FreePods 3,I love it!,5,3/2/2022
LINS,perfect,Earpods is as expected. Works fine,5,3/2/2022
ammad,fast,perfect,5,3/2/2022
HEAL,very cool,Perfect,4,3/2/2022
hua,I love it,An item everyone must have. It's just too good for the price. It's a bang????????,4,3/2/2022
aiman Emmanuel,So perfect,I friend of mine said I should order for him also,5,2/2/2022
TOR ESSIET,I love it,Bass is super and the ENC is top notch,5,2/2/2022
i,The battery life,The battery life last really long than expected and the sound is perfect,5,2/2/2022
uliar Kalu,Awesome,Awesome product ; especially for music,5,2/2/2022
er,Quality,"Product is as described in the picture. I recommend seller, only a little delay in delivery.",5,2/2/2022
xander Ehi,Pharm,Great product,5,2/2/2022
eka,Awesome buy,I love it,5,2/2/2022
O,I like it,The sound quality is unbelievable…but I don’t know why both hear stop working at the same time,4,2/2/2022
ncewill,Good product. Packaging is perfect,"The product is satisfactory.
Well packaged.",4,2/2/2022
YU,Excellent,Perfect fit,5,1/2/2022
,Great,It's worth it,5,1/2/2022
es Nj,Soft ear buds = bae,"I love the soft tips, and the base is MAD. At least compared to the last version",5,1/2/2022
s Ibrahim,Good product,Works as expected.,5,1/2/2022
th,oraimo freepods 3,Wonderful products,5,31-01-2022
wan Olasunkanmi,Great,"It’s really nice 
I got what I wanted",5,31-01-2022
heal Emmanuel,It do lovely and nice sounds,It so lovely and nice sounds,4,31-01-2022
yori,Improve Oraimo,Let it have a hook to avoid fall off one's ear.,4,31-01-2022
ah,perfect,Good sound,4,31-01-2022
OSKY,Free pods 3,The Item is Good.,4,31-01-2022
MA,Okay,It is okay although they can improve the call picking sensitivity as I had to keep tapping twice intermittently before it picks call. Also the requirement to always put the pod into the charging casing in order to reconnect after disconnection is not friendly at all.,4,31-01-2022
ye Valentine,Quality pods,Perfecto and has quality sound,5,31-01-2022
tor Onumaegbu,Good,"Good quality, crisp sound, great bass",5,31-01-2022
uf,Pains,"Sound good
Bass good
Call good
Battery good
Comfortable Very bad

But too much pains in my ear, not even upto 10mins stay. The pain is just too much.",3,31-01-2022
nsi,Excellent product,Clear sound quality with great bass. Good battery life. Sensitive audio during calls....no need to shout before being heard from the other end. Certainly worth the price ???? ????,5,31-01-2022
uel,Bass is crazy,This earbud is very nice and the bass is superb. Cant actually use the full volume cause of my health and safety. The only issue is I would have preferred it a little smaller in size coz I still feel a little pain after some hours,5,31-01-2022
anuel,perfect,"When i saw the 8 hours music play time, i was initially thinking it was a hype but now that I'm using it, i can conclude that the 8 hrs is an understatement. The bass is also incredible.",5,28-01-2022
othy,Review,I like it,5,28-01-2022
k,sound quality,Quality sound. Matches it's price,5,27-01-2022
ID,Great sound,"It has a good sound, deep bass",5,27-01-2022
mat,fantastic product,"Maybe it's because this is my first, but am loving it.",5,27-01-2022
cious,I love it,I love it but just that my ear pains me if the ear piece stays long apart from that I love it,5,27-01-2022
ferson,i like it,its good,5,27-01-2022
a Omagbemi,Good,Good product,4,27-01-2022
e,Good Product,"Blocks out sound, doesn't let my ear breath but other than that, it's a great buy",4,27-01-2022
ES,Not worth it.,"With the way this was advertised you’d think It would at least meet half the features. 

Extremely uncomfortable to wear longer than 30mins

Zero bass unless you smush it all the way into you ears and endure pain

Randomly disconnects 

The only good thing going for this is it’s battery life. 

I do not recommend!
Touch control doesn’t work as it should.",1,26-01-2022
niran,poor microphone,"Nice base, and very good for music, but the microphone is very poor. There's a need for improve on that",2,26-01-2022
omoke,I like it,Very cool,4,26-01-2022
diebere,oraimo Freepods3,Is beautiful n sound,4,26-01-2022
a,Excellent,Very Nice.,5,26-01-2022
